# State-wise personal loans by scheduled commercial banks (INR crore outstanding).
# Source: RBI Handbook of Statistics on Indian States 2024-25, Table 159.
# Values are as at end-March. Read geography_note before longitudinal comparison.
state_code,year,personal_loans_outstanding_crore,as_of,source,quality,geography_note
DN,2021,2108,2021-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official_derived,Dadra & Nagar Haveli and Daman & Diu source rows aggregated to the merged UT.
DN,2022,2354,2022-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official_derived,Dadra & Nagar Haveli and Daman & Diu source rows aggregated to the merged UT.
DN,2023,2685,2023-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official_derived,Dadra & Nagar Haveli and Daman & Diu source rows aggregated to the merged UT.
DN,2024,3713,2024-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official_derived,Dadra & Nagar Haveli and Daman & Diu source rows aggregated to the merged UT.
DN,2025,3911,2025-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official_derived,Dadra & Nagar Haveli and Daman & Diu source rows aggregated to the merged UT.
GA,2004,797,2004-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
GA,2005,995,2005-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
GA,2006,1300,2006-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
GA,2007,1587,2007-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
GA,2008,1810,2008-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
GA,2009,2100,2009-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
GA,2010,2531,2010-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
GA,2011,3159,2011-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
GA,2012,3549,2012-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
GA,2013,4176,2013-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
GA,2014,4792,2014-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
GA,2015,5672,2015-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
GA,2016,6372,2016-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
GA,2017,7224,2017-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
GA,2018,8596,2018-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
GA,2019,9443,2019-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
GA,2020,10590,2020-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
GA,2021,11450,2021-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
GA,2022,12589,2022-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
GA,2023,14493,2023-03-31,"RBI Handbook of Statistics on Indian States 2024-25, Table 159",official,
