# State GSDP at constant 2011-12 prices (INR lakh) and derived real growth.
# Source: RBI Handbook of Statistics on Indian States 2024-25, Table 22.
# FY = April-March. Growth is arithmetic percent change from the prior available FY.
state_code,fy,gsdp_constant_2011_12_lakh,source,level_quality,growth_quality,quality,geography_note,gsdp_real_growth_pct
JH,2013-14,16581626,"RBI Handbook of Statistics on Indian States 2024-25, Table 22; underlying NSO/MOSPI",official,derived,official_derived,,1.572
JH,2014-15,18653439,"RBI Handbook of Statistics on Indian States 2024-25, Table 22; underlying NSO/MOSPI",official,derived,official_derived,,12.495
JH,2015-16,17488115,"RBI Handbook of Statistics on Indian States 2024-25, Table 22; underlying NSO/MOSPI",official,derived,official_derived,,-6.247
JH,2016-17,19317392,"RBI Handbook of Statistics on Indian States 2024-25, Table 22; underlying NSO/MOSPI",official,derived,official_derived,,10.46
JH,2017-18,21058730,"RBI Handbook of Statistics on Indian States 2024-25, Table 22; underlying NSO/MOSPI",official,derived,official_derived,,9.014
JH,2018-19,22927447,"RBI Handbook of Statistics on Indian States 2024-25, Table 22; underlying NSO/MOSPI",official,derived,official_derived,,8.874
JH,2019-20,23175539,"RBI Handbook of Statistics on Indian States 2024-25, Table 22; underlying NSO/MOSPI",official,derived,official_derived,,1.082
JH,2020-21,21948331,"RBI Handbook of Statistics on Indian States 2024-25, Table 22; underlying NSO/MOSPI",official,derived,official_derived,,-5.295
JH,2021-22,24585559,"RBI Handbook of Statistics on Indian States 2024-25, Table 22; underlying NSO/MOSPI",official,derived,official_derived,,12.016
JH,2022-23,26353058,"RBI Handbook of Statistics on Indian States 2024-25, Table 22; underlying NSO/MOSPI",official,derived,official_derived,,7.189
JH,2023-24,28328396,"RBI Handbook of Statistics on Indian States 2024-25, Table 22; underlying NSO/MOSPI",official,derived,official_derived,,7.496
JH,2024-25,30317823,"RBI Handbook of Statistics on Indian States 2024-25, Table 22; underlying NSO/MOSPI",official,derived,official_derived,,7.023
JK,2011-12,7825555,"RBI Handbook of Statistics on Indian States 2024-25, Table 22; underlying NSO/MOSPI",official,derived,official_derived,Source Jammu & Kashmir includes Ladakh through FY2018-19.,
JK,2012-13,8076657,"RBI Handbook of Statistics on Indian States 2024-25, Table 22; underlying NSO/MOSPI",official,derived,official_derived,Source Jammu & Kashmir includes Ladakh through FY2018-19.,3.209
JK,2013-14,8510179,"RBI Handbook of Statistics on Indian States 2024-25, Table 22; underlying NSO/MOSPI",official,derived,official_derived,Source Jammu & Kashmir includes Ladakh through FY2018-19.,5.368
JK,2014-15,8237211,"RBI Handbook of Statistics on Indian States 2024-25, Table 22; underlying NSO/MOSPI",official,derived,official_derived,Source Jammu & Kashmir includes Ladakh through FY2018-19.,-3.208
JK,2015-16,9700134,"RBI Handbook of Statistics on Indian States 2024-25, Table 22; underlying NSO/MOSPI",official,derived,official_derived,Source Jammu & Kashmir includes Ladakh through FY2018-19.,17.76
