# Per-capita Net State Domestic Product at constant 2011-12 prices (INR).
# Source: RBI Handbook of Statistics on Indian States 2024-25, Table 20
# (published 11-Dec-2025; underlying data from MOSPI/NSO). FY = April-March.
state_code,fy,pc_nsdp_constant_2011_12_inr,source,quality
ML,2015-16,58284,"RBI Handbook of Statistics on Indian States 2024-25, Table 20",official
ML,2016-17,60752,"RBI Handbook of Statistics on Indian States 2024-25, Table 20",official
ML,2017-18,62231,"RBI Handbook of Statistics on Indian States 2024-25, Table 20",official
ML,2018-19,64716,"RBI Handbook of Statistics on Indian States 2024-25, Table 20",official
ML,2019-20,67229,"RBI Handbook of Statistics on Indian States 2024-25, Table 20",official
ML,2020-21,60522,"RBI Handbook of Statistics on Indian States 2024-25, Table 20",official
ML,2021-22,65313,"RBI Handbook of Statistics on Indian States 2024-25, Table 20",official
ML,2022-23,71217,"RBI Handbook of Statistics on Indian States 2024-25, Table 20",official
ML,2023-24,78387,"RBI Handbook of Statistics on Indian States 2024-25, Table 20",official
ML,2024-25,84578,"RBI Handbook of Statistics on Indian States 2024-25, Table 20",official
MN,2011-12,39762,"RBI Handbook of Statistics on Indian States 2024-25, Table 20",official
MN,2012-13,38954,"RBI Handbook of Statistics on Indian States 2024-25, Table 20",official
MN,2013-14,41441,"RBI Handbook of Statistics on Indian States 2024-25, Table 20",official
MN,2014-15,44101,"RBI Handbook of Statistics on Indian States 2024-25, Table 20",official
MN,2015-16,46389,"RBI Handbook of Statistics on Indian States 2024-25, Table 20",official
MN,2016-17,47151,"RBI Handbook of Statistics on Indian States 2024-25, Table 20",official
MN,2017-18,51211,"RBI Handbook of Statistics on Indian States 2024-25, Table 20",official
MN,2018-19,48106,"RBI Handbook of Statistics on Indian States 2024-25, Table 20",official
MN,2019-20,49267,"RBI Handbook of Statistics on Indian States 2024-25, Table 20",official
MN,2020-21,44449,"RBI Handbook of Statistics on Indian States 2024-25, Table 20",official
MN,2021-22,54587,"RBI Handbook of Statistics on Indian States 2024-25, Table 20",official
MN,2022-23,57232,"RBI Handbook of Statistics on Indian States 2024-25, Table 20",official
MN,2023-24,61059,"RBI Handbook of Statistics on Indian States 2024-25, Table 20",official
MP,2011-12,38497,"RBI Handbook of Statistics on Indian States 2024-25, Table 20",official
MP,2012-13,41142,"RBI Handbook of Statistics on Indian States 2024-25, Table 20",official
