# Per-capita Net State Domestic Product at current prices (INR).
# Source: RBI Handbook of Statistics on Indian States 2024-25, Table 19
# (published 11-Dec-2025; underlying data from MOSPI/NSO). FY = April-March.
state_code,fy,pc_nsdp_current_inr,source,quality
MP,2020-21,101958,"RBI Handbook of Statistics on Indian States 2024-25, Table 19",official
MP,2021-22,117402,"RBI Handbook of Statistics on Indian States 2024-25, Table 19",official
MP,2022-23,127947,"RBI Handbook of Statistics on Indian States 2024-25, Table 19",official
MP,2023-24,139713,"RBI Handbook of Statistics on Indian States 2024-25, Table 19",official
MP,2024-25,152615,"RBI Handbook of Statistics on Indian States 2024-25, Table 19",official
MZ,2011-12,57654,"RBI Handbook of Statistics on Indian States 2024-25, Table 19",official
MZ,2012-13,65013,"RBI Handbook of Statistics on Indian States 2024-25, Table 19",official
MZ,2013-14,77584,"RBI Handbook of Statistics on Indian States 2024-25, Table 19",official
MZ,2014-15,103049,"RBI Handbook of Statistics on Indian States 2024-25, Table 19",official
MZ,2015-16,114055,"RBI Handbook of Statistics on Indian States 2024-25, Table 19",official
MZ,2016-17,127107,"RBI Handbook of Statistics on Indian States 2024-25, Table 19",official
MZ,2017-18,155222,"RBI Handbook of Statistics on Indian States 2024-25, Table 19",official
MZ,2018-19,164708,"RBI Handbook of Statistics on Indian States 2024-25, Table 19",official
MZ,2019-20,195365,"RBI Handbook of Statistics on Indian States 2024-25, Table 19",official
MZ,2020-21,173521,"RBI Handbook of Statistics on Indian States 2024-25, Table 19",official
MZ,2021-22,190965,"RBI Handbook of Statistics on Indian States 2024-25, Table 19",official
MZ,2022-23,213665,"RBI Handbook of Statistics on Indian States 2024-25, Table 19",official
MZ,2023-24,234996,"RBI Handbook of Statistics on Indian States 2024-25, Table 19",official
NL,2011-12,53010,"RBI Handbook of Statistics on Indian States 2024-25, Table 19",official
NL,2012-13,61225,"RBI Handbook of Statistics on Indian States 2024-25, Table 19",official
NL,2013-14,71510,"RBI Handbook of Statistics on Indian States 2024-25, Table 19",official
NL,2014-15,78367,"RBI Handbook of Statistics on Indian States 2024-25, Table 19",official
NL,2015-16,82466,"RBI Handbook of Statistics on Indian States 2024-25, Table 19",official
NL,2016-17,91347,"RBI Handbook of Statistics on Indian States 2024-25, Table 19",official
NL,2017-18,102003,"RBI Handbook of Statistics on Indian States 2024-25, Table 19",official
NL,2018-19,109198,"RBI Handbook of Statistics on Indian States 2024-25, Table 19",official
NL,2019-20,122759,"RBI Handbook of Statistics on Indian States 2024-25, Table 19",official
NL,2020-21,119781,"RBI Handbook of Statistics on Indian States 2024-25, Table 19",official
NL,2021-22,127225,"RBI Handbook of Statistics on Indian States 2024-25, Table 19",official
NL,2022-23,138889,"RBI Handbook of Statistics on Indian States 2024-25, Table 19",official
NL,2023-24,154828,"RBI Handbook of Statistics on Indian States 2024-25, Table 19",official
OD,2011-12,48387,"RBI Handbook of Statistics on Indian States 2024-25, Table 19",official
OD,2012-13,54762,"RBI Handbook of Statistics on Indian States 2024-25, Table 19",official
OD,2013-14,60687,"RBI Handbook of Statistics on Indian States 2024-25, Table 19",official
OD,2014-15,63345,"RBI Handbook of Statistics on Indian States 2024-25, Table 19",official
OD,2015-16,64835,"RBI Handbook of Statistics on Indian States 2024-25, Table 19",official
OD,2016-17,77507,"RBI Handbook of Statistics on Indian States 2024-25, Table 19",official
OD,2017-18,87055,"RBI Handbook of Statistics on Indian States 2024-25, Table 19",official
OD,2018-19,98005,"RBI Handbook of Statistics on Indian States 2024-25, Table 19",official
OD,2019-20,104633,"RBI Handbook of Statistics on Indian States 2024-25, Table 19",official
OD,2020-21,103211,"RBI Handbook of Statistics on Indian States 2024-25, Table 19",official
OD,2021-22,133768,"RBI Handbook of Statistics on Indian States 2024-25, Table 19",official
OD,2022-23,134612,"RBI Handbook of Statistics on Indian States 2024-25, Table 19",official
OD,2023-24,150414,"RBI Handbook of Statistics on Indian States 2024-25, Table 19",official
OD,2024-25,168966,"RBI Handbook of Statistics on Indian States 2024-25, Table 19",official
PB,2011-12,85577,"RBI Handbook of Statistics on Indian States 2024-25, Table 19",official
PB,2012-13,94318,"RBI Handbook of Statistics on Indian States 2024-25, Table 19",official
